130427103	36778	x	x
130427104	56251	o	o
130427105	12759	x	x
130427106	64064	o	x
130427107	66957	x	x
130427108	34126	x	x
130427109	72428	x	x
130427110	17644	o	o
130427111	93231	x	x
130427112	62774	o	x
130427113	10684	x	x
130427114	03879	x	x
130427115	70364	x	x
130427116	57300	x	x
130427117	33598	x	x
130427118	63179	o	x
130427119	07137	o	o
130427120	36083	o	o
130428001	95961	o	o
130428002	72186	x	x
130428003	40718	x	x
130428004	63717	x	x
130428005	23290	o	o
130428006	82437	o	x
130428007	61520	x	x
130428008	15779	o	x
130428009	14930	x	x
130428010	05993	x	x
130428011	69466	o	o
130428012	27314	o	o
130428013	10299	o	o
130428014	88092	x	x
130428015	31176	o	o
130428016	81970	x	x
130428017	86475	x	x
130428018	42160	x	x
130428019	26129	o	x
130428020	87065	o	x
130428021	37435	x	x
130428022	14455	x	x
130428023	17233	o	x
130428024	57345	x	x
130428025	98616	o	x
130428026	55841	x	x
130428027	76293	o	o
130428028	86538	x	x
130428029	64622	x	x
130428030	32481	x	x
130428031	21619	o	o
130428032	66208	x	x
130428033	20139	o	x
130428034	60690	x	x
130428035	59588	x	x
130428036	98231	o	o
130428037	87879	x	x
130428038	61303	o	o
130428039	77649	o	x
130428040	97635	x	x
130428041	70049	o	x
130428042	25706	o	o
130428043	72267	x	x
130428044	55547	x	x
130428045	19444	x	x
130428046	28802	x	x
130428047	78020	x	x
130428048	41201	x	x
130428049	74235	o	o
130428050	27336	x	x
130428051	86786	x	x
130428052	88311	x	x
130428053	62418	x	x
130428054	94421	o	x
130428055	27319	x	x
130428056	81451	x	x
130428057	11232	o	x
130428058	09410	o	o
130428059	35152	o	x
130428060	26028	o	o
130428061	05004	o	o
130428062	34768	o	x
130428063	72177	x	x
130428064	49548	x	x
130428065	01362	o	o
130428066	73567	x	x
130428067	60814	x	x
130428068	00539	o	o
130428069	37420	x	x
130428070	51586	x	x
130428071	59894	x	x
130428072	66470	o	o
130428073	93776	x	x
130428074	68911	x	x
130428075	99746	x	x
130428076	61355	x	x
130428077	88769	x	x
130428078	73547	o	o
130428079	32657	x	x
130428080	90313	x	x
130428081	17839	x	x
130428082	78683	o	x
130428083	74294	o	x
130428084	47693	x	x
130428085	31426	x	x
130428086	88878	x	x
130428087	81159	o	x
130428088	41982	x	x
130428089	34642	x	x
130428090	94090	x	x
130428091	40010	x	x
130428092	95329	o	x
130428093	38606	x	x
130428094	98982	o	o
130428095	75702	x	x
130428096	35475	x	x
130428097	32093	o	o
130428098	35313	x	x
130428099	52969	x	x
130428100	60784	o	o
130428101	15665	x	x
130428102	60544	o	x
130428103	21181	x	x
130428104	46357	x	x
130428105	00163	o	x
130428106	03922	x	x
130428107	96580	x	x
130428108	08250	x	x
130428109	33902	x	x
130428110	60249	x	x
130428111	07465	o	o
130428112	12616	x	x
130428113	53141	x	x
130428114	58172	x	x
130428115	58397	x	x
130428116	06276	o	x
130428117	86212	o	o
130428118	14108	x	x
130428119	22760	o	o
130428120	22136	x	x
130429001	58038	x	x
130429002	51874	x	x
130429003	90987	x	x
130429004	85407	x	x
130429005	92903	x	x
130429006	45692	x	x
130429007	28613	o	x
130429008	59814	x	x
130429009	53803	x	x
130429010	61571	o	o
130429011	50521	x	x
130429012	62333	o	x
130429013	02420	x	x
130429014	75082	o	o
130429015	32616	o	o
130429016	37139	x	x
130429017	96834	x	x
130429018	50126	x	x
130429019	51838	x	x
130429020	18425	x	x
130429021	24723	x	x
130429022	91025	x	x
130429023	60323	x	x
130429024	29910	x	x
130429025	00318	x	x
130429026	01811	x	x
130429027	73182	x	x
130429028	20161	o	x
130429029	29765	x	x
130429030	90241	x	x
130429031	50568	o	x
130429032	93749	x	x
130429033	93627	x	x
130429034	30715	x	x
130429035	84665	x	x
130429036	17831	o	o
130429037	86958	x	x
130429038	34322	o	o
130429039	02904	x	x
130429040	71815	x	x
130429041	76538	x	x
130429042	94574	x	x
130429043	20025	x	x
130429044	77242	o	o
130429045	80809	x	x
130429046	42945	o	x
130429047	30875	x	x
130429048	86705	x	x
130429049	22654	o	x
130429050	31107	o	x
130429051	71931	o	o
130429052	29305	o	x
130429053	22515	x	x
130429054	87161	o	o
130429055	10968	x	x
130429056	57451	x	x
130429057	85965	o	x
130429058	40796	x	x
130429059	67218	o	o
130429060	79865	o	o
130429061	46816	o	x
130429062	95741	x	x
130429063	67801	x	x
130429064	11039	o	o
130429065	00844	o	x
130429066	35211	o	o
130429067	05476	x	x
130429068	00200	x	x
130429069	31485	x	x
130429070	34687	x	x
130429071	53150	x	x
130429072	27752	x	x
130429073	47475	o	o
130429074	71242	o	x
130429075	89834	x	x
130429076	16218	x	x
130429077	83645	o	o
130429078	18727	x	x
130429079	56797	x	x
130429080	55347	x	x
130429081	19929	x	x
130429082	37098	o	x
130429083	07888	x	x
130429084	70044	o	o
130429085	10383	x	x
130429086	58761	x	x
130429087	62219	o	o
130429088	55357	x	x
130429089	17738	o	x
130429090	39298	x	x
130429091	36689	x	x
130429092	70388	x	x
130429093	77563	o	o
130429094	89472	x	x
130429095	92401	x	x
130429096	95697	x	x
130429097	92692	x	x
130429098	93484	x	x
130429099	64102	o	x
130429100	98007	x	x
130429101	63111	o	x
130429102	09714	x	x
130429103	17120	x	x
130429104	52902	o	o
130429105	38731	o	x
130429106	44314	o	o
130429107	79195	x	x
130429108	08760	o	o
130429109	91502	o	o
130429110	32563	o	x
130429111	79526	x	x
130429112	58719	x	x
130429113	64941	x	x
130429114	21465	o	o
130429115	60025	x	x
130429116	44900	o	o
130429117	47751	x	x
130429118	83877	x	x
130429119	46142	o	o
130429120	21224	x	x
130430001	31469	o	o
130430002	84962	x	x
130430003	97743	x	x
130430004	33759	o	x
130430005	64456	x	x
130430006	63664	o	x
130430007	20033	x	x
130430008	72036	x	x
130430009	36024	x	x
130430010	29628	x	x
130430011	14703	o	o
130430012	13489	x	x
130430013	41700	x	x
130430014	47406	x	x
130430015	13925	x	x
130430016	29124	x	x
130430017	22389	o	o
130430018	49879	x	x
130430019	88002	o	o
130430020	86039	x	x
130430021	75063	o	o
130430022	64352	x	x
130430023	24004	o	o
130430024	17178	o	o
130430025	37535	o	o
130430026	15585	x	x
130430027	84875	x	x
130430028	87576	x	x
130430029	71678	x	x
130430030	63149	o	x
130430031	44794	x	x
130430032	70753	o	x
130430033	12737	x	x
130430034	33250	x	x
130430035	67971	x	x
130430036	94161	x	x
130430037	97936	x	x
130430038	77970	o	o
130430039	38487	o	x
130430040	75168	o	x
130430041	60098	x	x
130430042	18906	o	x
130430043	18126	x	x
130430044	68281	x	x
130430045	76454	o	o
130430046	03228	o	o
130430047	28875	x	x
130430048	89002	x	x
130430049	30189	x	x
130430050	16056	o	o
130430051	05984	o	x
130430052	87845	x	x
130430053	71433	x	x
130430054	89443	x	x
130430055	66788	o	o
130430056	77175	x	x
130430057	12099	o	o
130430058	64847	x	x
130430059	74485	o	o
130430060	35021	x	x
130430061	39788	o	x
130430062	73748	x	x
130430063	97465	x	x
130430064	49206	x	x
130430065	75245	o	x
130430066	19105	x	x
130430067	84411	x	x
130430068	75339	x	x
130430069	60809	x	x
130430070	63225	o	o
130430071	65699	o	x
130430072	88519	x	x
130430073	65491	o	x
130430074	50301	x	x
130430075	86372	x	x
130430076	22412	x	x
130430077	91904	x	x
130430078	15216	o	x
130430079	67301	x	x
130430080	55204	x	x
130430081	56031	o	x
130430082	70076	x	x
130430083	26273	x	x
130430084	38616	o	x
130430085	93656	x	x
130430086	58444	x	x
130430087	79925	x	x
130430088	38131	o	x
130430089	87245	o	x
130430090	27103	o	o
130430091	34217	x	x
130430092	03196	o	x
130430093	02677	o	x
130430094	79532	o	o
130430095	16890	x	x
130430096	41955	o	o
130430097	78842	x	x
130430098	33414	o	o
130430099	83803	x	x
130430100	28207	x	x
130430101	88546	o	x
130430102	82682	x	x
130430103	48791	o	x
130430104	77316	x	x
130430105	71930	o	o
130430106	86405	o	o
130430107	36707	x	x
130430108	83961	x	x
130430109	27346	x	x
130430110	18471	x	x
130430111	67422	x	x
130430112	45264	o	o
130430113	61164	x	x
130430114	58114	x	x
130430115	99654	x	x
130430116	63858	x	x
130430117	30869	x	x
130430118	20332	o	o
130430119	71705	o	o
130430120	70801	x	x
